#       Profundidades [m]             Pressao          Efeito     |                        Pressoes sem Cascalho                        |                        Pressoes com Cascalho                        |   Instante
#      Medida     Vertical         Hidrostatica      Cascalhos       Max. Surge            SURGE           Min.Swab             SWAB         Max. Surge            SURGE           Min.Swab            SWAB      Tempo [s]

        41.60        41.60           85.1147          120.9004           85.1217           85.1217           85.1077           85.1077          120.9074          120.9074          120.8934          120.8934      107.710
        83.20        83.20          170.2433          241.8147          170.2573          170.2573          170.2293          170.2293          241.8287          241.8287          241.8007          241.8007       60.000
       133.12       133.11          272.4051          386.9148          272.4274          272.4274          272.3827          272.3827          386.9372          386.9372          386.8924          386.8924      548.625
       183.04       183.02          374.5813          532.0271          374.6121          374.6121          374.5506          374.5506          532.0578          532.0578          531.9963          531.9963       60.000
       232.96       232.76          476.4294          676.6649          476.4685          476.4685          476.3903          476.3903          676.7040          676.7040          676.6258          676.6258     1554.466
       282.88       282.42          578.1181          821.0681          578.1656          578.1656          578.0706          578.0706          821.1156          821.1156          821.0206          821.0206       60.000
       332.80       331.96          679.6005          965.1701          679.6564          679.6564          679.5446          679.5446          965.2260          965.2260          965.1142          965.1142     3100.466
       382.72       381.45          780.9845         1109.1241          781.0488          781.0488          780.9202          780.9202         1109.1884         1109.1884         1109.0598         1109.0598       60.000
       432.64       430.89          882.2912         1252.9601          882.3638          882.3638          882.2185          882.2185         1253.0327         1253.0327         1252.8874         1252.8874     5183.900
       482.56       480.30          983.5661         1396.7427          983.6471          983.6471          983.4850          983.4850         1396.8238         1396.8238         1396.6617         1396.6617       60.000
       532.48       529.77         1084.9761         1540.7090         1085.0655         1085.0655         1084.8867         1084.8867         1540.7984         1540.7984         1540.6196         1540.6196     7807.492
       582.40       579.27         1186.4679         1684.7830         1186.5657         1186.5657         1186.3701         1186.3701         1684.8808         1684.8808         1684.6852         1684.6852       60.000
       632.32       628.77         1287.9824         1828.8811         1288.0886         1288.0886         1287.8762         1287.8762         1828.9873         1828.9873         1828.7749         1828.7749    10976.527
       682.24       678.27         1389.5183         1973.0013         1389.6329         1389.6329         1389.4038         1389.4038         1973.1158         1973.1158         1972.8867         1972.8867       60.000
       732.16       727.78         1491.0753         2117.1431         1491.1983         1491.1983         1490.9524         1490.9524         2117.2661         2117.2661         2117.0202         2117.0202    14688.765
       782.08       777.28         1592.6528         2261.3058         1592.7842         1592.7842         1592.5215         1592.5215         2261.4371         2261.4371         2261.1744         2261.1744       60.000
       832.00       826.78         1694.2513         2405.4900         1694.3911         1694.3911         1694.1116         1694.1116         2405.6297         2405.6297         2405.3503         2405.3503    18944.609
       881.92       876.29         1795.8703         2549.6950         1796.0184         1796.0184         1795.7222         1795.7222         2549.8431         2549.8431         2549.5469         2549.5469       60.000
       931.84       925.79         1897.5104         2693.9217         1897.6669         1897.6669         1897.3539         1897.3539         2694.0782         2694.0782         2693.7652         2693.7652    23744.513
       981.76       975.30         1999.1710         2838.1692         1999.3359         1999.3359         1999.0061         1999.0061         2838.3341         2838.3341         2838.0043         2838.0043       60.000
      1031.68      1024.80         2100.8526         2982.4383         2101.3184         2101.3184         2100.3869         2100.3869         2982.9041         2982.9041         2981.9726         2981.9726    29088.936
      1081.60      1074.31         2202.5548         3126.7283         2203.3214         2203.3214         2201.7882         2201.7882         3127.4949         3127.4949         3125.9617         3125.9617       60.000
      1111.55      1104.01         2263.5860         3198.7983         2264.5331         2264.5331         2262.6388         2262.6388         3199.7455         3199.7455         3197.8512         3197.8512    33756.822
      1141.50      1133.72         2324.6248         3246.3555         2325.7525         2325.7525         2323.4972         2323.4972         3247.4832         3247.4832         3245.2279         3245.2279       60.000
      1156.48      1148.57         2355.1469         3269.3774         2356.3983         2356.3983         2353.8955         2353.8955         3270.6288         3270.6288         3268.1260         3268.1260    36535.871
      1171.46      1163.42         2385.6711         3289.9896         2387.0462         2387.0462         2384.2959         2384.2959         3291.3647         3291.3647         3288.6145         3288.6145       60.000
      1221.38      1212.93         2487.4321         3398.7854         2489.2196         2489.2196         2485.6445         2485.6445         3400.5730         3400.5730         3396.9979         3396.9979    40745.116
      1271.30      1262.44         2589.2133         3527.9557         2591.4133         2591.4133         2587.0133         2587.0133         3530.1557         3530.1557         3525.7556         3525.7556       60.000
      1321.22      1311.95         2691.0157         3640.8166         2693.6282         2693.6282         2688.4033         2688.4033         3643.4291         3643.4291         3638.2042         3638.2042    47671.220
      1371.14      1361.46         2792.8387         3743.9292         2795.8636         2795.8636         2789.8138         2789.8138         3746.9541         3746.9541         3740.9043         3740.9043       60.000
      1372.80      1363.11         2796.2331         3747.3234         2799.2717         2799.2717         2793.1945         2793.1945         3750.3620         3750.3620         3744.2847         3744.2847    51463.716
      1374.46      1364.76         2799.6276         3750.7147         2802.6799         2802.6799         2796.5752         2796.5752         3753.7671         3753.7671         3747.6624         3747.6624       60.000
      1424.38      1414.27         2901.4732         3815.9626         2904.9381         2904.9381         2898.0084         2898.0084         3819.4274         3819.4274         3812.4978         3812.4978    55402.125
      1474.30      1463.78         3003.3393         3949.6934         3007.2166         3007.2166         2999.4621         2999.4621         3953.5706         3953.5706         3945.8161         3945.8161       60.000
      1524.22      1513.29         3105.2267         4062.9539         3109.5164         3109.5164         3100.9370         3100.9370         4067.2436         4067.2436         4058.6642         4058.6642    63439.530
      1574.14      1562.80         3207.1345         4166.8147         3211.8366         3211.8366         3202.4323         3202.4323         4171.5168         4171.5168         4162.1125         4162.1125       60.000
      1575.81      1564.45         3210.5317         4170.2450         3215.2476         3215.2476         3205.8159         3205.8159         4174.9609         4174.9609         4165.5291         4165.5291    67806.558
      1577.47      1566.10         3213.9290         4173.6732         3218.6587         3218.6587         3209.1994         3209.1994         4178.4029         4178.4029         4168.9436         4168.9436       60.000
      1605.76      1594.16         3271.6868         4189.7259         3278.5689         3278.5689         3264.8048         3264.8048         4196.6079         4196.6079         4182.8438         4182.8438    70409.313
      1634.05      1622.21         3329.4514         4263.5332         3338.4859         3338.4859         3320.4170         3320.4170         4272.5676         4272.5676         4254.4987         4254.4987       60.000
      1635.71      1623.87         3332.8496         4267.8748         3341.9529         3341.9529         3323.7462         3323.7462         4276.9782         4276.9782         4258.7715         4258.7715    73061.356
      1637.38      1625.52         3336.2477         4272.2165         3345.4200         3345.4200         3327.0754         3327.0754         4281.3888         4281.3888         4263.0442         4263.0442       60.000
      1639.04      1627.17         3339.6458         4276.5582         3727.6165         3727.6165         2951.6752         2951.6752         4664.5289         4664.5289         3888.5875         3888.5875    73359.069
      1640.70      1628.82         3343.0440         4280.8999         4109.8131         4109.8131         2576.2750         2576.2750         5047.6690         5047.6690         3514.1308         3514.1308       60.000
      1644.03      1632.12         3349.8404         4278.3569         4116.8628         4116.8628         2582.8181         2582.8181         5045.3792         5045.3792         3511.3346         3511.3346    73806.779
      1647.36      1635.42         3356.6371         4268.8535         4123.9126         4123.9126         2589.3615         2589.3615         5036.1291         5036.1291         3501.5780         3501.5780       60.000
      1649.02      1637.07         3360.0354         4272.9774         4506.1093         4506.1093         2213.9614         2213.9614         5419.0513         5419.0513         3126.9035         3126.9035    74255.863
      1650.69      1638.72         3363.4337         4277.1593         4888.3060         4888.3060         1838.5613         1838.5613         5802.0317         5802.0317         2752.2870         2752.2870       60.000
      1655.68      1643.67         3373.6287         4286.7841         4898.8809         4898.8809         1848.3766         1848.3766         5812.0363         5812.0363         2761.5319         2761.5319    74856.764
      1660.67      1648.62         3383.8241         4299.4751         4909.4561         4909.4561         1858.1921         1858.1921         5825.1071         5825.1071         2773.8431         2773.8431       60.000
      1662.34      1650.27         3387.2226         4303.7051         5291.6530         5291.6530         1482.7922         1482.7922         6208.1355         6208.1355         2399.2748         2399.2748    75460.109
      1664.00      1651.92         3390.6212         4303.8625         5673.8500         5673.8500         1107.3924         1107.3924         6587.0913         6587.0913         2020.6337         2020.6337       60.000
